PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Activation at 7.6 uM,Standard Deviation,Activation at 7.6 uM [1],Activation at 7.6 uM [2],Activation at 7.6 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent activation of the confirmation screen at a compound concentration of 7.6 uM.,Standard deviation derived from the normalized percent activation of the triplicate data for each compound,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [1].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [2].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [3].
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
189,24825775,4885140,Active,33,,,60.3,2.64865,57.0427,63.5303,60.3393
190,14736981,783224,Active,33,,,60.23,13.8283,58.244,44.3712,78.0687
191,7975523,1076222,Active,33,,,59.9,6.12156,58.1654,53.4277,68.1171
192,47202010,791441,Active,33,,,59.47,2.37485,57.1394,58.5418,62.7299
193,853556,656215,Active,33,,,59.44,14.8817,39.3041,64.2226,74.8045
194,49680704,16245491,Active,32,,,58.96,1.78495,60.79,59.5454,56.5379
195,47200698,23724194,Active,32,,,57.93,3.49085,62.8648,55.3906,55.5305
196,49735681,16011176,Active,32,,,57.4,4.03856,55.5939,53.6149,62.9983
197,49643850,24747030,Active,31,,,57.24,8.47047,45.2767,62.7286,63.7208
198,121285046,51360407,Active,31,,,57.23,4.42135,62.041,58.2913,51.3672
199,4258179,2845487,Active,31,,,57.08,7.56348,47.3585,58.0927,65.8027
200,26671045,4891692,Active,31,,,56.91,7.61308,67.5123,53.2221,49.9914
201,7976287,782678,Active,31,,,56.75,5.13582,59.8266,49.5166,60.9145
