SMILES,PUBCHEM_ACTIVITY_OUTCOME
C1CN(CCN1CC2=NC(=NC(=N2)NC3=CC=C(C=C3)Cl)N)C4=CC=CC=N4,1
CC(COC1=CC=CC=C1)N2CCC(CC2)(CC3=CC=CC=C3)CO,1
CC1=CC(=O)OC2=C1C(=CC(=C2C(CCN3CCN(CC3)C4=CC=CC=C4)C5=CC6=C(C=C5)OCO6)OC)OC,1
COCCN=C1N(C(=CS1)C2=CC=CO2)/N=C/C3=C(C(=C(C=C3)O)O)O,1
CCOC1=C(C=CC(=C1)CN2CCN(CC2)C(=O)C3=CC=CO3)OC,1
C1CC2=CC=CC=C2N(C1)C3=NC(=NC(=N3)N)CN4CCN(CC4)C5=CC=CC=C5,1
CCOC(=O)N1CCN(CC1)CC2=CC=C(C=C2)OCC(CN3CCCCC3)O,1
CC(C)[C@@H](C(=O)N1CCN(CC1)CC2=CC3=C(C=C2)OCO3)NC(=O)C4=CC=C(C=C4)C(C)(C)C,1
CCOC(=O)C1CCN(CC1)CC2=CC(=CC=C2)OC3=CC=C(C=C3)Cl,1
CC1=C(C=C(C=C1)NC2=NC(=NC(=N2)N)CN3CCN(CC3)C4=CC=CC=C4)Cl,1
C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,1
COC1=CC=CC=C1C(=O)NCCN2CCN(CC2)C3=CC=CC=C3.Cl,1
CN1CCC2=C(C1)SC(=C2C#N)NC(=O)CC3=CC=CC=C3.Cl,1
C1CCN(C1)S(=O)(=O)C2=CC=CC(=C2)NC(=O)CN3CCN(CC3)C4=CC=CC=N4,1
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=C(C=CC=N4)[N+](=O)[O-].Cl,1
COC1=CC=C(C=C1)S(=O)(=O)NCC(C2=CC3=C(C=C2)OCO3)N4CCN(CC4)C5=CC=CC=C5,1
C1CN(CCN1CC2=CC(=CC=C2)C(F)(F)F)C3=NC=CC=N3,1
COC1=CC=C(C=C1)CC2(CCN(CC2)CC3=CC4=CC=CC=C4O3)CO,1
CN1CCC2=C(C1)SC(=C2C#N)/N=C/C3=C(C=CC(=C3)Cl)O,1
C1=CC2=C(C=C1O)C(=CN2)CCN.Cl,1
CC1=CC(=NC(=N1)C2=CC=CC=C2O)N/N=C/C3=C(C(=C(C=C3)O)C)O,1
CN(C1=CC=C(C=C1)C(=O)N2CCN(CC2)CC3=CC=CC=C3)S(=O)(=O)C4=CC=C(C=C4)Cl,1
C1CN(CCC1(CC2=CC(=CC=C2)C(F)(F)F)CO)CC3=CC4=CC=CC=C4O3,1
C1CN(CCN1CC2=CC=CC=C2Br)C(=O)C3=CC=CO3.C(=O)(C(=O)O)O,1
CCCN1CCC[C@H](C1)C2=CC(=CC=C2)O.Cl,1
CC(=O)N1CCC(CC1)N2CCN(CC2)C3=CC=CC=C3F,1
C1CN(CCN1CCCCOC2=CC=C(C=C2)F)C(=O)C3=CC=CO3.Cl,1
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C#C)O)C,1
CCC(C1=NN=NN1C2=CC3=C(C=C2)OCCO3)N4CCN(CC4)C/C=C/C5=CC=CC=C5,1
CC(C)(C)C1=CC(=C(C=C1)O)/C=N/C2=C(C3=C(S2)CN(CC3)C)C#N,1
CC1=CC(=C(C=C1)C)CN2CCN(CC2)C3=NC=CC=N3,1
COC1=CC=C(C=C1)C2/C=C\CN(CC(=O)N2CC3=CC=C(C=C3)F)C(=O)C4CCCC4,1
CC1=CC(=C(C=C1)OC)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C4=CC=CC=C4,1
CC1=C(C(=CC=C1)C)OCC(CN2CCN(CC2)C3=CC=CC=C3)O.Cl,1
COC1=CC=CC(=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C4=CC=CC=C4,1
C1CC(CN(C1)S(=O)(=O)C2=CN=CN2)C(=O)NCCN3CCN(CC3)C4=CC=CC=C4F,1
CC(CCC1=CC=CC=C1)NC(=O)CN2CCC3=CC=CC=C3C2,1
CC1=CC=C(O1)CN2CCN(CC2)C3=NC=CC=N3,1
CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)NC(=O)CN4CCN(CC4)C(=O)C5=CC=CO5,1
C1CN(CCN1CC2=CC(=CC=C2)[N+](=O)[O-])C3=NC=CC=N3,1
C1CN(CCN1CCC(=O)NC2=CC3=C(C=C2)OCO3)C4=CC=CC=C4F,1
